ID,Treatment,Species,Type,Vol_L,Experiment,perhalfDay
2B,Pr,Acropora,Dark,3.5,Sesoko,8.919836286
2B,Pr,Porites,Dark,3.5,Sesoko,6.327502571
2B,Pr,Porites,Light,3.5,Sesoko,11.90360943
2C,Pr,Acropora,Light,3.5,Sesoko,7.082686286
2C,Pr,Acropora,Dark,3.5,Sesoko,3.68205
2C,Pr,Porites,Dark,3.5,Sesoko,-0.123260286
2C,Pr,Porites,Light,3.5,Sesoko,14.74013914
2D,OA,Acropora,Light,3.5,Sesoko,-0.905756286
2D,OA,Acropora,Dark,3.5,Sesoko,5.084053429
2D,OA,Porites,Dark,3.5,Sesoko,-13.97888657
2D,OA,Porites,Light,3.5,Sesoko,2.951865714
2E,OA,Acropora,Light,3.5,Sesoko,-13.13393629
2E,OA,Acropora,Dark,3.5,Sesoko,5.818266286
2E,OA,Porites,Dark,3.5,Sesoko,-20.25782629
2E,OA,Porites,Light,3.5,Sesoko,11.80614429
